Time0_1,Time0_2,Time0_3,Time6_1,Time6_2,Time6_3,cv1,cv2,means1,means2
5.096292961,5.139402547,5.11739221,4.786898853,4.829171173,4.813486345,0.214592745,0.362753002,5.128397379,4.809852124
5.095947014,5.140595394,5.117830403,4.937058642,4.96640153,5.179343022,0.221915053,2.147433714,5.129212898,5.027601065
5.062664644,5.172463971,5.118268395,4.907723994,4.974030631,4.873155305,0.5266445,0.85102716,5.145366183,4.91830331
5.129973693,5.110493046,5.119763353,5.083408663,5.073737145,5.149780253,0.090616573,0.662423328,5.115128199,5.102308687
5.034667264,5.205836163,5.123060994,4.961458209,5.519517345,5.765077178,0.801394076,6.209067907,5.164448578,5.415350911
5.328315399,4.865822932,5.125659555,5.032893013,4.437473339,4.072647598,2.600581275,8.7669201,4.995741243,4.514337983
5.1094428,5.144758752,5.126612603,4.963930241,5.276485935,5.248689582,0.176667247,2.735698754,5.135685677,5.163035253
5.332198442,4.873980001,5.131171655,5.86102145,4.46719897,4.730008212,2.570592251,12.04731049,5.002575828,5.019409544
5.200299907,5.075493005,5.139785152,4.543336535,4.343384286,4.691756322,0.629372458,3.153667709,5.107639078,4.526159048
5.104631124,5.178969962,5.141804832,5.047831691,5.304506154,5.252582091,0.360100196,2.130202068,5.160387397,5.201639978
5.178973871,5.118504098,5.148911047,5.110515493,5.307543483,4.906050723,0.296149995,3.209023726,5.133707573,5.108036567
5.372360162,4.87081454,5.15519286,5.972944581,4.371166721,4.711366477,2.836406445,13.73005527,5.0130037,5.018492593
5.161984615,5.150557371,5.155859719,5.065982996,5.279967225,5.382241698,0.051447051,2.513375952,5.153208545,5.24273064
5.119523265,5.192575307,5.156070209,4.959592587,5.121328289,5.300670819,0.352752418,2.71700945,5.174322758,5.127197232
5.172820831,5.146110938,5.159187076,5.32672171,5.125240784,4.922291743,0.12688753,3.221779794,5.152649007,5.124751412
5.138279686,5.184362171,5.161015126,5.067909109,5.073814881,5.051968775,0.22567611,0.182185895,5.172688648,5.064564255
5.166719247,5.157399673,5.161654703,5.005429805,5.113703722,5.279446808,0.041234691,2.195346917,5.159527188,5.132860112
5.154001754,5.176607123,5.164869385,5.073767388,5.297210859,5.233454339,0.11350157,1.806812922,5.170738254,5.201477529
5.178679618,5.157563667,5.167819268,5.334335618,5.134624663,4.931846183,0.099324168,3.200817078,5.162691468,5.133602155
5.162767694,5.182195192,5.172060452,5.085580437,5.305608018,5.252460058,0.097879951,1.797673408,5.177127822,5.214549504
5.140804407,5.205969866,5.173336057,5.085708034,5.324112873,5.250546141,0.314412245,1.90948693,5.189652961,5.220122349
5.166077095,5.186478837,5.175870747,5.212904209,4.84911461,4.783039208,0.102371475,3.819475174,5.181174792,4.948352676
