id,T0_1,T0_2,T0_3,T6_1,T6_2,T6_3
XP_044505744.1,13097226.6,13129176.4,12262455.73,18982474.56,10900425.09,20133557.84
XP_044489578.1,7405125.866,2466819.102,3525467.0830000006,1864919.9230000004,1977063.4470000006,5674360.464
XP_044468960.1,19598909.64,15499401.38,15101996.23,32281243.94,11800348.17,17343947.67
XP_044464666.1,41190811.42,41433390.03,26349928.76,38482236.3,28621601.11,62233533.48
XP_044504154.1,5394786.276000001,2792215.5940000005,4359314.343,4371793.469999999,2290105.460999999,9747533.613000002
XP_044509574.1,3373772.3029999994,12685509.4,14047324.0,16672589.03,4345027.148,61248600.12
XP_044505408.1,6863556.495000001,7144689.583999999,7040494.657,5764106.651000001,9300371.047,4977005.835999999
XP_044492796.1,88467110.23000002,76983313.11,73407060.78,59612941.43,69769977.44,71134222.06
XP_044489818.1,15837621.66,31222784.0,25272671.87,34058458.72,23900745.98,21223248.33
XP_044505518.1,1080214.4759999998,421392.9188000001,922575.7945000008,118074.8077000007,79374.75612000003,770603.4847000018
XP_044508657.1,5880277.140000001,2348105.039000001,1879222.2939999998,1924415.9759999998,668586.6347000003,1399449.904000001
XP_044478226.1,10322196.99,9983459.809,9703331.865,8033916.563000001,7568306.408,6836414.212000001
XP_044461232.1,6359799.298,2724929.791000001,3167709.276999999,3797077.011,3032308.647,3942341.710000001
XP_044474006.1,1142831.6640000008,4188960.432,1089102.6740000006,658935.6665000003,1118980.8190000001,1955273.7069999985
XP_044507949.1,17704055.62213647,17502986.41975612,17782492.44975778,17120738.92567397,16927526.34599869,17759235.857029054
XP_044500859.1,178506984.3,133494435.4,204446238.7,247148023.4,227353915.7,222130218.8
XP_044482551.1,175576770.0,285778609.1,178349927.0,110794801.79999998,106365320.5,153362132.3
XP_044504849.1,74174280.6,68143542.24,60637524.64,36838501.12,52197010.68000001,63771375.75
XP_044465154.1,84905421.61000001,66666521.56,77982670.1,86305038.79999998,67244687.56,71416898.97
XP_044484642.1,24777802.96,18214548.63,16756799.67,50455639.83,43027494.23,38943161.88
XP_044499871.1,66680292.42,50497696.22,51090329.09,61650741.57,65895745.870000005,35467023.54
XP_044475840.1,96124460.79000002,92167034.0,74830313.39,91948296.69999999,91993676.63,82817685.41
XP_044511989.1,21807222.19,16108532.32,15398312.64,8429479.376,9750259.539,16501228.29
XP_044483609.1,80721505.45,45635003.47,57837745.64,72186991.77,26583641.86,85010521.4
XP_044461656.1,213530900.9,141656218.3,426622297.1,436890364.3,216215284.3,292810063.7
XP_044480039.1,2540831.2180000003,3269886.387,1794002.8320000004,2612401.8729999997,2257261.567,10317740.83
XP_044494887.1,530639.2186000012,2695434.890999999,484451.616799999,861425.4099999983,759342.759300001,776115.2787000015
XP_044489371.1,62668470.04,41704320.26,40660531.64,53626247.28,25793322.38,27248626.54
XP_044500547.1,92565438.70000002,77815013.6,95624311.2,75531770.08,72992940.22,82200685.51
XP_044506164.1,295859264.2,348003703.2,276092002.0,198475357.4,153767409.8,256357104.3
XP_044468843.1,58028992.81,63019265.19,65033599.14,34538097.15,59317643.99000001,69302698.59
XP_044506828.1,10447659.4,10317967.96,7054870.284,11812903.83,7548901.555,8110442.857000001
XP_044509558.1,25989769.95,37684605.94,21235581.34,35437593.37,22788405.03,33692313.56
XP_044466602.1,83282337.54,63123518.43,72119093.76,46863095.41,81179522.27,78158681.27
XP_044473388.1,1634317.7640000004,1809657.1549999993,952593.6785000004,943780.1246000025,2269854.5,609413.2019000016
XP_044463845.1,52126253.86,31371951.22,54546469.28,39743375.07,64570452.42,31545023.31
XP_044493783.1,11059814.35,14978906.29,13017872.79,4610598.642000001,3552066.546,8975255.165
XP_044481485.1,48649906.1,28177202.14,36802261.31,71606394.18,38387788.14,42204951.93
XP_044477078.1,64298089.86,42962705.39,59248400.44,30069631.44,29210621.6,63410701.38
XP_044509112.1,8021250.225,8648080.491,5429973.449999999,10401331.44,5751652.59,8956158.206
XP_044505375.1,7468814.444,9950464.383,20870660.21,14092851.56,19762961.79,16580251.44
XP_044506946.1,8101031.741999999,2148460.7809999995,2030656.6429999992,15211041.91,4363638.151000001,6175395.710000001
XP_044463695.1,1909157.9749999996,1142916.0280000009,2180625.5639999993,847196.8111000005,548473.8357499987,1361995.2289999984
XP_044507437.1,20905497.34,12515446.84,14346774.48,40672576.69,26681548.55,33375166.559999995
XP_044488894.1,20548977.73,23171676.66,22352634.33,22470824.55,22202270.56,29684524.51
XP_044490172.1,68704791.52,80868226.6,103353997.6,61114871.41,85811209.62,90588889.91
XP_044498366.1,2268676.401999999,3041766.524,7872785.887,5239683.865,7156006.298,5239931.737
XP_044476492.1,69233.33884999901,34446.76728000119,103287.80951750278,48901.254399999976,40678.32136999816,43691.6641700007
XP_044463493.1,30308002.92,31805870.54,42848482.59,36416683.93,23536719.11,31043425.28
XP_044462407.1,11384403.96,3264963.1610000003,3772186.035,8211787.313999999,10211884.65,9967533.284
XP_044482065.1,9915467.063,2577543.3660000004,8405488.825,8486117.56,10865479.95,7469207.258000001
XP_044473632.1,355789795.2,642412495.7,414678344.0,483360839.4,636433532.8,439976401.1
XP_044485773.1,264098960.5,614017888.9000001,282068795.1,273646362.70000005,380228536.5,331329149.9
XP_044493422.1,10920824.56,12418140.91,7311295.223999999,6232725.468,8101769.206,9102709.351
XP_044461485.1,40402461.24,39739336.4,25979584.33,36981551.89,38865921.0,31207126.81
XP_044506875.1,41597556.54,43303154.92,15616033.23,12669834.43,11030558.76,14696161.0
XP_044476237.1,77578058.39,63867607.99,74655637.41,54142283.17,83336612.17,83758642.06
XP_044463940.1,116131397.4,84026319.54,64339724.56,69668656.93,58716433.42,117016707.1
XP_044470350.1,357740524.7,199854768.6,150771617.1,110404875.29999998,99403944.56,185372191.0
XP_044504656.1,36296971.95,62172117.18,43265782.05,24290858.09,13343660.12,32362362.1
XP_044469169.1,164457736.7,170905117.2,105547132.4,51254911.92,65386778.42,88063699.41
XP_044504230.1,11079517.09,16689909.31,6539064.322999999,4990235.006000001,7437454.164999999,4231697.535
XP_044490570.1,159307020.6,227495498.2,165148253.4,147192199.20000002,219108123.3,174126861.6
XP_044474151.1,65753539.89,30813502.9,63318844.2,35982588.36,25870521.59,41121399.53
XP_044486537.1,15992469.25,4744794.506999999,5377031.756000001,3883829.0030000005,10910311.57,4546684.934999999
XP_044508666.1,32812358.6,27473987.48,17793530.92,16003189.01,9521670.107,44907635.98
XP_044465264.1,97696996.72,168056200.9,68199330.2,260004565.8,98261469.72,144678802.4
XP_044477437.1,36342131.48,47711063.8,37306298.48,16898654.9,41007737.83,47440397.71
XP_044469003.1,500987.5639999993,1794920.6400000006,1322495.4700000007,1223155.8399999999,2055953.716,1557925.545
XP_044492914.1,3107081.381000001,3240500.6180000007,9887472.099,6110736.918,3317618.0370000005,3997610.552000001
XP_044511026.1,30664254.95,31548138.6,67626691.28,62912067.8,61164076.870000005,51663132.74
XP_044483796.1,26538159.82,25853917.73,28146220.28,24800412.61,26845665.93,33682183.06
XP_044493625.1,12249174.55,7070804.195,7544994.398,8459491.038,8627725.067,6986056.944
XP_044500112.1,166979840.6,148992692.2,206932716.4,183279282.0,222604150.7,174388331.5
XP_044468423.1,1918952.1970000006,3830942.541000001,2635978.313000001,2250008.693,4603820.993999999,3029116.273
XP_044510853.1,37635157.49,35245001.55,42573804.79,36666846.2,37173717.32,33961713.85
XP_044485562.1,37246196.23,30413640.26,37669103.4,38979527.27,32643288.17,36910683.14
XP_044496301.1,9089601.3,27854137.2,34298820.52,18619806.15,48727191.6,16849269.72
XP_044490325.1,1756152.7719999999,1101527.2029999997,1398700.7819999997,2708.542977001518,471758.7453999985,229003.90590000153
XP_044506200.1,85291801.33000001,60582947.95,60968357.760000005,66455217.4,69611054.75,58423639.74
XP_044496356.1,25837951.69,18666149.49,19689375.57,28558885.54,42526482.74,20623400.0
XP_044478178.1,22071931.9,26892424.85,15579456.46,26733833.44,17853814.87,34715124.3
XP_044493455.1,26616402.83,36771507.49,28557849.49,23608003.12,35259593.43,25307018.74
XP_044493898.1,26613703.67,30461247.57,31298754.46,21616918.46,20994133.48,24166709.5
