lineage_3,log2FC Large/Lung,log2FC Giant/Large,log2FC Small/Giant,transformed_pval,adjusted_p_values_BC2,adjusted_p_values_bh2,adjusted_p_values_by2
carnitine,0.03014037778718172,-0.041174790158355415,0.009864480066255631,0.33666176947764653,-0.0,0.2833323277759907,-0.0
acetylcarnitine,0.05539711328304663,-0.030127477151400652,-0.053513395086472584,1.4094312492812453,-0.0,1.1576192762874458,0.37979121466281346
propionylcarnitine,0.03835974828364157,-0.05091466547910434,-0.03873955805663434,1.8953790503908754,-0.0,1.5806230302201365,0.8027949685955043
malonylcarnitine,0.015531048021774806,0.022339863142749012,-0.08204393750606562,1.2910210701714753,-0.0,1.0626901930271986,0.2848621314025662
butyrylcarnitine/isobutyrylcarnitine,0.0384243120079399,-0.025828618570871827,0.012162051528486862,0.3257932108758598,-0.0,0.2772906757884867,-0.0
valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,0.0067431553400345975,0.08426225688944457,-0.09998315379433582,1.0657763843271633,-0.0,0.8838555816107582,0.10602751998612582
hexanoylcarnitine,-0.025622402657647973,0.05070722424982814,-0.03386754746241966,0.2883536999431888,-0.0,0.2583904765657456,-0.0
heptanoylcarnitine,-0.04111123476688571,0.084601304011428,-0.0075918386518912615,3.8685615221814635,1.5163790040701008,3.199899591242342,2.4220715296177096
lauroylcarnitine,-0.03600076689094589,0.019150727537736115,0.07660144022988452,3.381981515228931,1.0297989971175687,2.835978971101456,2.0581509094768236
myristoylcarnitine,-0.03444158418365376,0.02488978013850878,0.08037573023979405,2.5682814203262643,0.2160989022149017,2.1703414116542263,1.3925133500295943
palmitoylcarnitine,-0.06938961207937776,0.054906936535707634,0.0996765146772117,3.1978580303264663,0.8456755122151036,2.67818442492134,1.9003563632967075
stearoylcarnitine,-0.05212505897687429,0.007871777598636616,0.1122880476312302,2.3532666868388,0.001084168727437848,1.9788077740162857,1.2009797123916532
oleylcarnitine,-0.05481436889184407,0.054641838961510786,0.08034833066787715,3.7584394675854202,1.4062569494740578,3.113827125571994,2.335999063947362
arachidonyl_carnitine,-0.008038724033165474,0.0034727120001710496,0.05830802283660377,4.346112370216672,1.9939298521053097,3.6067137088250454,2.828885647200413
sarcosine,0.030167664265476138,-0.10263220978155874,0.11898522276942523,4.844649722824382,2.4924672047130194,3.939625236055239,3.1617971744306064
beta-alanine,0.0406603573660352,-0.018221070996843825,-0.08419384148319693,3.5432246954399655,1.191042177328603,2.9392302043348035,2.161402142710171
anserine,-0.04786207197115836,0.021810242564251247,-0.006664394780781422,3.4892035702141255,1.137021052102763,2.9151723024864067,2.137344240861774
C14:0 LPC,-0.013690456549204647,0.005760448730222076,0.06284341893564942,5.891114176953621,3.538931658842258,4.618112904889883,3.84028484326525
C16:1 LPC,-0.015230800612484573,0.03793762063628349,-0.01079807033628221,1.885289710670096,-0.0,1.5744998777169585,0.7966718160923263
C16:0 LPC,-0.03785560561856265,0.03689702377761615,-0.01913212957185565,1.5301960392602072,-0.0,1.2679186325882426,0.49009057096361036
C18:2 LPC,0.006091183725056223,0.03261652678403121,-0.016539344696069026,0.7620251646883393,-0.0,0.6299507346170319,-0.0
C18:1 LPC,-0.005809128380960175,0.029192517766224287,-0.0749270603299688,4.529607651906946,2.1774251337955834,3.7220037136498068,2.9441756520251747
C18:0 LPC,-0.035364937121240086,0.025271235245542284,0.00018963492489825718,0.9300652198850019,-0.0,0.7737823541828732,-0.0
C20:4 LPC,-0.019987923558673706,0.022045528244041736,-0.04764336161121534,3.173649144043301,0.8214666259319388,2.669875047632966,1.8920469860083335
C20:3 LPC,-0.04363995890315937,0.027656082560846063,0.026351778906664628,1.2444199049751414,-0.0,1.0257762952339964,0.2479482336093642
C22:6 LPC,-0.008878386511205455,-0.006722115408056379,-0.006657328539229746,0.48167179475408456,-0.0,0.4105226438904497,-0.0
C16:0 LPE,-0.007968780846186527,0.06053804462193615,-0.025764750685471346,1.1187543948420025,-0.0,0.9219079141957018,0.14407985257106948
C18:1 LPE,-0.00348130751863724,0.04155351588700928,-0.011711517836977589,0.867197462088397,-0.0,0.7179610553139161,-0.0
C18:0 LPE,-0.02265366202511703,0.040146056200635,-0.0051762413254657,0.22326400492881696,-0.0,0.1994610902561922,-0.0
C20:4 LPE,-0.017831551516034428,0.028777934289882224,0.028224430596368928,3.5254988034546475,1.1733162853432848,2.9291911410157763,2.1513630793911442
C22:6 LPE,-0.02970673051630299,0.016494782152119875,0.03203116111564097,0.39142183421922805,-0.0,0.3306505395108871,-0.0
C32:2 PC,0.018310328037913617,0.015967094755426195,-0.014573839912122863,0.7918827501614665,-0.0,0.654544080097802,-0.0
C32:1 PC,0.004226521686556507,0.016998313345933106,0.027516728509004496,5.231191944676163,2.8790094265648003,4.276949435236838,3.4991213736122058
C32:0 PC,-0.015264086849297793,0.030733281197827585,0.024677698789761213,2.1459332653082366,-0.0,1.7980721209795167,1.0202440593548845
C34:4 PC,0.009501643582300398,0.006154864060604146,0.016835749746362184,2.172742315722281,-0.0,1.8205597976109187,1.0427317359862864
C34:3 PC,-0.00653626580607546,0.04139610584551655,-0.04320262209352614,0.30274380377939053,-0.0,0.2686246206307896,-0.0
C34:2 PC,0.009759319848836032,0.00471149856104832,-0.0076871398309196915,0.3073268464457785,-0.0,0.2690115487035694,-0.0
C34:1 PC,-0.004062928028264521,0.006493041902354974,0.03583342387902922,5.326210523600353,2.9740280054889903,4.335755841506583,3.557927779881951
C36:4 PC-A,0.020942016738848823,0.012876677601985105,-0.015971192017045246,0.25108650610243616,-0.0,0.2231864432887663,-0.0
C36:4 PC-B,-0.014437370857083803,0.028121036880989853,0.036535017122337456,4.879031242798802,2.5268487246874396,3.958212488846427,3.180384427221795
C36:3 PC,-0.00172096030204138,0.0328820533280779,-0.02642096965601239,0.30320253532711827,-0.0,0.2686246206307896,-0.0
C36:2 PC,0.006747570186925479,-0.0016705050834454334,-0.010938802420599365,0.0908892885577791,-0.0,0.08309904413152729,-0.0
C36:1 PC,-0.0175962721327461,0.011786630088042588,0.044816430548321774,3.4263741734346937,1.074191655323331,2.859521490334098,2.0816934287094657
C38:6 PC,-0.032891328315617245,0.08097576408339575,-0.0010962734807778234,4.820452535895634,2.4682700177842714,3.9306680156832274,3.1528399540585954
C38:5 PC,-0.025006595856206227,0.05099676301081553,-0.0028254456048967137,1.5006935186628678,-0.0,1.2419326857137405,0.4641046240891081
C38:4 PC,-0.002691741970813553,0.004561230597505472,0.04076053444062645,3.5701210708449223,1.2179385527335596,2.958301242227803,2.180473180603171
C38:2 PC,-0.013914718231896482,0.039052835612541865,-0.017951993266593393,0.13713947443075847,-0.0,0.1273796371416022,-0.0
C40:6 PC,-0.011706765742926745,0.04086754211793941,0.03257940923092698,6.231737510478452,3.8795549923670896,4.820887449804967,4.043059388180335
C14:0 SM,-0.010155069671831605,-0.016656595964451005,-0.008120021067364595,3.408934680436249,1.0567521623248863,2.856092711778468,2.078264650153836
C16:1 SM,0.005313035650533602,-0.004931733834565407,-0.011585193857211469,0.3189412165239106,-0.0,0.2742547363257611,-0.0
C16:0 SM,-0.012827658299657992,0.00980011129530326,-0.0015179235749037535,0.04123758350702469,-0.0,0.039554140890686894,-0.0
C18:2 SM,0.008485163739669961,0.0028662167439769096,0.034014835310265855,3.170799217025253,0.8186166989138907,2.669875047632966,1.8920469860083335
C18:1 SM,-0.021714230634836153,0.03976987598883494,0.018233546390836845,2.3707324637458935,0.01854994563453124,1.9870328941884663,1.209204832563834
C18:0 SM,-0.0085187292637525,0.017111083139530952,0.021739400852261108,0.6401516765053772,-0.0,0.5310072070803092,-0.0
C22:1 SM,0.005795578136439427,0.030172349248035336,-0.027150309792170032,1.0663962844906179,-0.0,0.8838555816107582,0.10602751998612582
C22:0 SM,-0.0031849988064467038,0.0041746141220264914,-0.013264136861502556,0.9320860154209035,-0.0,0.7737823541828732,-0.0
C24:1 SM,-0.03652346581028632,0.03073523229853298,-0.051999189627443175,4.78174997821402,2.429567460102657,3.9066887148223195,3.128860653197687
C24:0 SM,-0.03479259109090895,-0.07251763674351863,0.042018158464983024,3.6861462603877078,1.333963742276345,3.0582396118771342,2.2804115502525018
C34:2 DAG,0.017616808801353166,-0.07942282028334519,0.12249576754341285,0.7517701835874802,-0.0,0.6248969472019805,-0.0
C34:1 DAG,0.047357688558261064,-0.0049720923446319835,-0.010008486978677796,0.8747398404083515,-0.0,0.7212144092514117,-0.0
C36:2 DAG,0.0350356451100469,-0.015559635754115259,-0.004272315622239202,0.32987145094311016,-0.0,0.2787189284957288,-0.0
C36:1 DAG,0.027066213901197813,-0.027726125978225796,0.04424292493474018,3.21443500475041,0.8622524866390477,2.6883272893398744,1.910499227715242
C14:0 CE,0.014285187796660001,0.029482660445783463,-0.05536661360329052,0.6549205407984453,-0.0,0.5407841258158782,-0.0
C16:1 CE,-0.019454824635658164,0.05223645345724381,-0.08981045951149233,3.0713362447801473,0.719153726668785,2.594214990060485,1.8163869284358527
C16:0 CE,-0.03993015777439284,0.06501805502174059,-0.08401888932448692,3.413766710781417,1.0615841926700547,2.856092711778468,2.078264650153836
C18:3 CE,-0.033797857639866334,0.04331578705220111,-0.07838257942624749,3.970974179783191,1.6187916616718288,3.2720041754471723,2.4941761138225402
C18:2 CE,-0.030211731599713906,0.03485865627490661,-0.08395127149584997,3.3309997824610593,0.9788172643496971,2.7917306209925528,2.0139025593679203
C18:1 CE,0.00493410095185509,0.020484200362082015,-0.11631871735982659,5.757690454717536,3.4055079366061736,4.551635972284411,3.7738079106597793
C18:0 CE,0.014032576973374258,0.012421763060604859,-0.07555590535212736,2.7977709734406506,0.44558845532928826,2.364666547705362,1.5868384860807299
C20:5 CE,-0.007102118553333641,0.01878825436704951,-0.10414034516922104,4.746754339226873,2.3945718211155107,3.8859335149497833,3.1081054533251513
C20:4 CE,-0.026483029573495943,0.026794051569379553,-0.09499915237670632,4.16527621067763,1.8130936925662684,3.456546369052456,2.6787183074278236
C20:3 CE,-0.009041760915610783,0.05698420898837956,-0.1324661666544152,5.511526335527441,3.159343817416079,4.46037381308006,3.682545751455428
